dataset_id,label,cutoff,cutoff_source,n_ranks_kept,peak_d,peak_controlled,smooth_fraction_d43_kept,desi_mag_d36_kept,R_H,m_d,df_ratio,dS,fail_frozen,weak_0.4,weak_0.5,weak_0.6
desi_vit_base_hsc,mag_r,0.2,frozen_gate,33,36,0.1733417268914295,False,True,,,,,,,,
desi_vit_base_hsc,mag_r,0.4,descriptive_stricter,33,36,0.1733417268914295,False,True,,,,,,,,
desi_vit_base_hsc,mag_r,0.5,descriptive_stricter,21,16,-0.1556197678843226,False,False,,,,,,,,
desi_vit_base_hsc,mag_r,0.6,descriptive_stricter,11,9,-0.1379192666311898,False,False,,,,,,,,
desi_vit_base_hsc,mag_r,overlay,per_rank,,5,-0.069417264622744,,,0.6621779543178176,15.0,0.0146484375,0.005586224460860953,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,6,0.0299082645254689,,,0.6905055861905902,21.0,0.0205078125,0.006373182756609216,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,7,-0.0256593610166969,,,0.6920640468478041,28.0,0.02734375,0.0065750131100988565,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,8,-0.0837246691214337,,,0.6795086302126108,36.0,0.03515625,0.006730072304587035,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,9,-0.1379192666311898,,,0.6643274805958206,45.0,0.0439453125,0.006860591989000872,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,10,-0.0807245174866389,,,0.6604196449256438,55.0,0.0537109375,0.006852360172009261,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,11,-0.0574865745985969,,,0.6588710182362121,66.0,0.064453125,0.006888539408388776,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,12,-0.110237691117062,,,0.647188863590388,78.0,0.076171875,0.00686965862996658,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,13,-0.1060908013469747,,,0.6478250499804099,91.0,0.0888671875,0.00687045084229491,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,14,-0.0616833536466737,,,0.6421475010701727,105.0,0.1025390625,0.00668748378723194,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,15,-0.0896173259919204,,,0.6198728389826802,120.0,0.1171875,0.006566018156718201,False,False,False,False
desi_vit_base_hsc,mag_r,overlay,per_rank,,16,-0.1556197678843226,,,0.5994324549502774,136.0,0.1328125,0.006375534012325565,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,17,-0.0780512389707144,,,0.5802815451453772,153.0,0.1494140625,0.006194709058339262,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,18,-0.0784007321385655,,,0.5658288262566639,171.0,0.1669921875,0.00600101395779499,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,19,-0.0944536355157299,,,0.5532730401153109,190.0,0.185546875,0.005807010131699523,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,20,-0.0441142811366315,,,0.547568981198182,210.0,0.205078125,0.0055940176584954315,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,21,0.0341893546652018,,,0.5373224398448558,231.0,0.2255859375,0.005447120925358225,False,False,False,True
desi_vit_base_hsc,mag_r,overlay,per_rank,,22,0.0737276803595747,,,0.5294996635503002,253.0,0.2470703125,0.005272079061721039,False,False,False,True
