sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,mse_L,mse_UQ,mse_BS,mse_FQ,mse_FQ_minus_BS,mse_G,mse_P,delta_Q,delta_BS,delta_FQ,delta_normal,dMSE_G_to_P,mae_L,mae_UQ,r2_L,r2_UQ,A_B,A_B_A,A_B_B,gamma_fold_cosine,n_eval
0,0.018409484316046477,-0.6934431614192684,0.3702073475241887,2048.0,0.18257469163258322,0.15315052610834842,0.157134733241237,0.1571325147238365,0.1824323648482971,0.24496495370523963,0.3448407900165317,0.029424165524234797,0.025439958391346218,0.025442176908746728,0.02529985012446062,-0.09987583631129204,0.33250294799236163,0.3009025950537047,0.5068312586079775,0.5863114896758179,3.1004013256819247,2.517465160828931,2.55983393422388,0.9405556064350227,2048
1,0.027592433196754564,-0.5463986608567116,0.4431068547027163,2048.0,0.131703924775537,0.11913262184880015,0.12172165676762717,0.12167071533789262,0.13132994721088867,0.2462935677937539,0.35561986598024675,0.012571302926736846,0.009982268007909828,0.01003320943764438,0.009659231872996055,-0.10932629818649287,0.27548216354873956,0.25829461110321,0.7027716376360322,0.7311424533734033,1.8022888625489812,1.5811446854554772,1.5297973486284442,0.9323114911873468,2048
8,0.03174145218784237,-0.34079673550714534,1.0011097295510027,2048.0,0.6651385246427783,0.6001268204286443,0.6047362935118399,0.6041671685656862,0.6594191425494865,0.8038157119987894,0.9031795076227538,0.06501170421413405,0.060402231130938455,0.06097135607709214,0.05525197398380033,-0.09936379562396436,0.5601755797088803,0.5205249454793036,0.33559878102364193,0.40053841980159266,1.769944874853612,1.4497899774551641,1.5258690524606426,0.9195603078477478,2048
11,0.02909703044841653,-0.6233459042053935,0.35300978904199876,2048.0,0.16685356559057282,0.13277377889241287,0.13675504040275788,0.13673392860529357,0.1659863823828366,0.2230482862067329,0.3129915620060803,0.03407978669815995,0.030098525187814945,0.030119636985279252,0.02925245377754304,-0.08994327579934741,0.303809319704275,0.2664553943684519,0.5273401169883091,0.6238807449143674,2.9414301956824325,2.270432423161481,2.649264470677766,0.9597958226225143,2048
16,0.024801922770464245,-0.49384145228166476,0.5684038609424997,2048.0,0.2593894230114035,0.23657606375382442,0.23623323629706705,0.23610426228209672,0.25902773391687084,0.3779430808354567,0.517185950977645,0.022813359257579074,0.023156186714336446,0.02328516072930678,0.022923471634774123,-0.13924287014218828,0.3821775969370148,0.36316089414899944,0.5436529537619668,0.5837887811642493,1.6896389208033398,1.5051525972010438,1.4453477405945805,0.9213691908754218,2048
18,0.024159531040015697,-0.6647120349634996,0.7154303967336095,2048.0,0.3362611913576172,0.3141690089914311,0.31603629526375066,0.31600026967421146,0.3360624425241383,0.5011343657143708,0.6456859316633912,0.022092182366186097,0.020224896093866518,0.020260921683405708,0.02006217284992684,-0.1445515659490204,0.42912805112653685,0.4136906478647279,0.5299875530969032,0.5608671221885309,1.89778074300154,1.925969659743863,1.3742797607876187,0.9037108964151106,2048
19,0.016726139041649185,-0.6801415116093494,0.5516501580518867,2048.0,0.21626499439156427,0.20579664841756015,0.20530091814596746,0.20532618513904685,0.21626993655592014,0.3508422213316078,0.49335058456067815,0.010468345974004117,0.01096407624559681,0.010938809252517417,0.010943751416873287,-0.14250836322907035,0.34376814717495496,0.3322475155958997,0.6079671305537395,0.6269435521521168,2.2695915630589973,1.8712309786102033,1.9631840623100565,0.888650162979663,2048
22,0.04458245513766817,-0.35245908299031536,0.6168523625636331,2048.0,0.47156455981176354,0.4554268456202836,0.45965073160116166,0.4600254861838431,0.46880503369546556,0.5354135868461642,0.5888648807207713,0.016137714191479913,0.011913828210601884,0.011539073627920449,0.008779547511622465,-0.05345129387460701,0.486601041284339,0.47000093242962193,0.23553091723286057,0.26169230555017475,1.1136486967961665,0.9351936183361776,1.0314381057869852,0.8793141844373251,2048
25,0.022673802132395168,-0.5991005284888595,0.7373857889443158,2048.0,0.32227278548170657,0.30680570621730907,0.3069062860209806,0.306841961667982,0.32169702334394185,0.5185402596407274,0.6690095322909005,0.015467079264397499,0.01536649946072599,0.01543082381372457,0.014855061675959846,-0.15046927265017318,0.41868948055587624,0.40558196300688903,0.5629522696076217,0.5839278288010542,1.478440882591673,1.3335348379597614,1.3338768142156285,0.8954874775676356,2048
26,0.019790274739566696,-0.6300767409452693,0.26780578155141566,2048.0,0.15168901334435014,0.13172755197121735,0.1343558952448995,0.13433914153036985,0.1511586372477002,0.1869779890951162,0.2485946689854165,0.01996146137313279,0.01733311809945065,0.01734987181398029,0.01681949571733035,-0.061616679890300285,0.3059974174618577,0.28158620147999064,0.4335857408842849,0.5081228224121548,3.326693328101281,2.6869607042520434,2.8236930742976303,0.9280765721712492,2048
