pair,mknn_s,family,approx_params_m,mknn_d,size_name,paper_model,lift,logp
official_legacy_cross_convnext_nano,0.016081782117790662,convnext,15.0,0.009246261824839792,nano,ConvNeXtv2 Nano,0.00683552029295087,7.176091259055681
official_legacy_cross_convnext_tiny,0.015440952090326518,convnext,28.0,0.008483368935001526,tiny,ConvNeXtv2 Tiny,0.006957583155324992,7.447158031342219
official_legacy_cross_convnext_base,0.019499542264266097,convnext,89.0,0.010253280439426304,base,ConvNeXtv2 Base,0.009246261824839792,7.949390006644912
official_legacy_cross_convnext_large,0.019774183704607873,convnext,198.0,0.012450411962160512,large,ConvNeXtv2 Large,0.00732377174244736,8.296665190261532
official_legacy_cross_astropt_15m,0.01693622215440952,astropt,15.0,0.006591394568202624,15m,AstroPTv2 Small,0.010344827586206896,7.176091259055681
official_legacy_cross_astropt_95m,0.013793103448275862,astropt,95.0,0.009795544705523344,95m,AstroPTv2 Base,0.0039975587427525175,7.977723605288848
official_legacy_cross_astropt_850m,0.01592920353982301,astropt,850.0,0.010802563320109856,850m,AstroPTv2 Large,0.005126640219713152,8.929418925714293
official_legacy_cross_dino_small,0.013823619163869394,dinov2,22.0,0.012114739090631675,small,DINOv2 Small,0.0017088800732377191,7.342422680822207
official_legacy_cross_dino_base,0.016356423558132438,dinov2,86.0,0.009398840402807446,base,DINOv2 Base,0.006957583155324992,7.9344984512435675
official_legacy_cross_dino_large,0.017638083613060726,dinov2,300.0,0.011351846200793408,large,DINOv2 Large,0.006286237412267318,8.477121254719663
official_legacy_cross_dino_giant,0.020781202319194385,dinov2,1100.0,0.011565456209948123,giant,DINOv2 Giant,0.009215746109246262,9.041392685158225
official_legacy_cross_vit_base,0.012511443393347574,vit,86.0,0.007110161733292646,base,ViT Base,0.005401281660054928,7.9344984512435675
official_legacy_cross_vit_large,0.01922490082392432,vit,307.0,0.01367104058590174,large,ViT Large,0.0055538602380225816,8.487138375477187
official_legacy_cross_vit_huge,0.01925541653951785,vit,632.0,0.014464449191333537,huge,ViT Huge,0.004790967348184315,8.800717078282386
official_legacy_cross_ijepa_huge,0.027525175465364666,ijepa,630.0,0.010741531888922795,huge,IJEPA Huge,0.01678364357644187,8.799340549453582
official_legacy_cross_ijepa_giant,0.03207201708880073,ijepa,1000.0,0.017577052181873665,giant,IJEPA Giant,0.014494964906927067,9.0
