family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.016081782117790662,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.022978333841928593,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.03663716814159292,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.015440952090326518,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.021925541653951785,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.03753433018004272,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.019499542264266097,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.02651815685077815,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.043448275862068966,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.019774183704607873,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
