family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.009747314453125,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0119537353515625,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.01911376953125,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.009100341796875,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0113677978515625,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.018310546875,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.011724853515625,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0140899658203125,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.02184326171875,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.0132080078125,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.01484375,,,,,16384,paper_full_catalog,dense_cosine
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.0224169921875,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.007183837890625,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.010595703125,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.017518310546875,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.009893798828125,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0143218994140625,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.02310791015625,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.0119384765625,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0166290283203125,,,,,16384,paper_full_catalog,dense_cosine
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.02632568359375,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.011651611328125,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.01373291015625,,,,,16384,paper_full_catalog,dense_cosine
