representation,metric,k_or_keff,dropped_family,n_positive,n_total,fraction_positive,one_sided_p,two_sided_p
bsf,mknn,10,astropt,8,9,0.8888888888888888,0.01953125,0.0390625
bsf,mknn,10,convnext,7,8,0.875,0.03515625,0.0703125
bsf,mknn,10,dinov2,6,8,0.75,0.14453125,0.2890625
bsf,mknn,10,ijepa,8,10,0.8,0.0546875,0.109375
bsf,mknn,10,vit,7,9,0.7777777777777778,0.08984375,0.1796875
bsf,mknn,20,astropt,8,9,0.8888888888888888,0.01953125,0.0390625
bsf,mknn,20,convnext,7,8,0.875,0.03515625,0.0703125
bsf,mknn,20,dinov2,6,8,0.75,0.14453125,0.2890625
bsf,mknn,20,ijepa,8,10,0.8,0.0546875,0.109375
bsf,mknn,20,vit,7,9,0.7777777777777778,0.08984375,0.1796875
bsf,mknn,50,astropt,8,9,0.8888888888888888,0.01953125,0.0390625
bsf,mknn,50,convnext,7,8,0.875,0.03515625,0.0703125
bsf,mknn,50,dinov2,6,8,0.75,0.14453125,0.2890625
bsf,mknn,50,ijepa,8,10,0.8,0.0546875,0.109375
bsf,mknn,50,vit,7,9,0.7777777777777778,0.08984375,0.1796875
dense,mknn,10,astropt,6,9,0.6666666666666666,0.25390625,0.5078125
dense,mknn,10,convnext,6,8,0.75,0.14453125,0.2890625
dense,mknn,10,dinov2,6,8,0.75,0.14453125,0.2890625
dense,mknn,10,ijepa,7,10,0.7,0.171875,0.34375
dense,mknn,10,vit,7,9,0.7777777777777778,0.08984375,0.1796875
dense,mknn,20,astropt,6,9,0.6666666666666666,0.25390625,0.5078125
dense,mknn,20,convnext,6,8,0.75,0.14453125,0.2890625
dense,mknn,20,dinov2,6,8,0.75,0.14453125,0.2890625
dense,mknn,20,ijepa,7,10,0.7,0.171875,0.34375
dense,mknn,20,vit,7,9,0.7777777777777778,0.08984375,0.1796875
dense,mknn,50,astropt,6,9,0.6666666666666666,0.25390625,0.5078125
dense,mknn,50,convnext,6,8,0.75,0.14453125,0.2890625
dense,mknn,50,dinov2,6,8,0.75,0.14453125,0.2890625
dense,mknn,50,ijepa,7,10,0.7,0.171875,0.34375
dense,mknn,50,vit,7,9,0.7777777777777778,0.08984375,0.1796875
sae,mknn,10,astropt,5,9,0.5555555555555556,0.5,1.0
sae,mknn,10,convnext,6,8,0.75,0.14453125,0.2890625
sae,mknn,10,dinov2,5,8,0.625,0.36328125,0.7265625
sae,mknn,10,ijepa,6,10,0.6,0.376953125,0.75390625
sae,mknn,10,vit,6,9,0.6666666666666666,0.25390625,0.5078125
sae,mknn,20,astropt,5,9,0.5555555555555556,0.5,1.0
sae,mknn,20,convnext,6,8,0.75,0.14453125,0.2890625
sae,mknn,20,dinov2,5,8,0.625,0.36328125,0.7265625
sae,mknn,20,ijepa,6,10,0.6,0.376953125,0.75390625
sae,mknn,20,vit,6,9,0.6666666666666666,0.25390625,0.5078125
sae,mknn,50,astropt,4,9,0.4444444444444444,0.74609375,1.0
sae,mknn,50,convnext,5,8,0.625,0.36328125,0.7265625
sae,mknn,50,dinov2,5,8,0.625,0.36328125,0.7265625
sae,mknn,50,ijepa,5,10,0.5,0.623046875,1.0
sae,mknn,50,vit,5,9,0.5555555555555556,0.5,1.0
