pair,family,size_name,approx_params_m,mknn,probe,logp
official_legacy_cross_convnext_nano,convnext,nano,15.0,0.0092462618248397,dense,7.176091259055681
official_legacy_cross_convnext_tiny,convnext,tiny,28.0,0.0084833689350015,dense,7.447158031342219
official_legacy_cross_convnext_base,convnext,base,89.0,0.0102532804394263,dense,7.949390006644912
official_legacy_cross_convnext_large,convnext,large,198.0,0.0124504119621605,dense,8.296665190261532
official_legacy_cross_astropt_15m,astropt,15m,15.0,0.0065913945682026,dense,7.176091259055681
official_legacy_cross_astropt_95m,astropt,95m,95.0,0.0097955447055233,dense,7.977723605288848
official_legacy_cross_astropt_850m,astropt,850m,850.0,0.0108025633201098,dense,8.929418925714293
official_legacy_cross_dino_small,dinov2,small,22.0,0.0121147390906316,dense,7.342422680822207
official_legacy_cross_dino_base,dinov2,base,86.0,0.0093988404028074,dense,7.9344984512435675
official_legacy_cross_dino_large,dinov2,large,300.0,0.0113518462007934,dense,8.477121254719663
official_legacy_cross_dino_giant,dinov2,giant,1100.0,0.0115654562099481,dense,9.041392685158225
official_legacy_cross_vit_base,vit,base,86.0,0.0071101617332926,dense,7.9344984512435675
official_legacy_cross_vit_large,vit,large,307.0,0.0136710405859017,dense,8.487138375477187
official_legacy_cross_vit_huge,vit,huge,632.0,0.0144644491913335,dense,8.800717078282386
official_legacy_cross_ijepa_huge,ijepa,huge,630.0,0.0107415318889227,dense,8.799340549453582
official_legacy_cross_ijepa_giant,ijepa,giant,1000.0,0.0175770521818736,dense,9.0
official_legacy_cross_convnext_nano,convnext,nano,15.0,0.0149221849252364,sae,7.176091259055681
official_legacy_cross_convnext_tiny,convnext,tiny,28.0,0.0146475434848947,sae,7.447158031342219
official_legacy_cross_convnext_base,convnext,base,89.0,0.0173634421727189,sae,7.949390006644912
official_legacy_cross_convnext_large,convnext,large,198.0,0.0149832163564235,sae,8.296665190261532
official_legacy_cross_astropt_15m,astropt,15m,15.0,0.0116875190723222,sae,7.176091259055681
official_legacy_cross_astropt_95m,astropt,95m,95.0,0.0133048519987793,sae,7.977723605288848
official_legacy_cross_astropt_850m,astropt,850m,850.0,0.0151663106499847,sae,8.929418925714293
official_legacy_cross_dino_small,dinov2,small,22.0,0.0156850778150747,sae,7.342422680822207
official_legacy_cross_dino_base,dinov2,base,86.0,0.0140067134574305,sae,7.9344984512435675
official_legacy_cross_dino_large,dinov2,large,300.0,0.0169057064388159,sae,8.477121254719663
official_legacy_cross_dino_giant,dinov2,giant,1100.0,0.0169362221544095,sae,9.041392685158225
official_legacy_cross_vit_base,vit,base,86.0,0.0115654562099481,sae,7.9344984512435675
official_legacy_cross_vit_large,vit,large,307.0,0.0193469636862984,sae,8.487138375477187
official_legacy_cross_vit_huge,vit,huge,632.0,0.0182178822093378,sae,8.800717078282386
official_legacy_cross_ijepa_huge,ijepa,huge,630.0,0.0234360695758315,sae,8.799340549453582
official_legacy_cross_ijepa_giant,ijepa,giant,1000.0,0.027372596887397,sae,9.0
official_legacy_cross_convnext_nano,convnext,nano,15.0,0.0160817821177906,bsf,7.176091259055681
official_legacy_cross_convnext_tiny,convnext,tiny,28.0,0.0154409520903265,bsf,7.447158031342219
official_legacy_cross_convnext_base,convnext,base,89.0,0.019499542264266,bsf,7.949390006644912
official_legacy_cross_convnext_large,convnext,large,198.0,0.0197741837046078,bsf,8.296665190261532
official_legacy_cross_astropt_15m,astropt,15m,15.0,0.0169362221544095,bsf,7.176091259055681
official_legacy_cross_astropt_95m,astropt,95m,95.0,0.0137931034482758,bsf,7.977723605288848
official_legacy_cross_astropt_850m,astropt,850m,850.0,0.015929203539823,bsf,8.929418925714293
official_legacy_cross_dino_small,dinov2,small,22.0,0.0138236191638693,bsf,7.342422680822207
official_legacy_cross_dino_base,dinov2,base,86.0,0.0163564235581324,bsf,7.9344984512435675
official_legacy_cross_dino_large,dinov2,large,300.0,0.0176380836130607,bsf,8.477121254719663
official_legacy_cross_dino_giant,dinov2,giant,1100.0,0.0207812023191943,bsf,9.041392685158225
official_legacy_cross_vit_base,vit,base,86.0,0.0125114433933475,bsf,7.9344984512435675
official_legacy_cross_vit_large,vit,large,307.0,0.0192249008239243,bsf,8.487138375477187
official_legacy_cross_vit_huge,vit,huge,632.0,0.0192554165395178,bsf,8.800717078282386
official_legacy_cross_ijepa_huge,ijepa,huge,630.0,0.0275251754653646,bsf,8.799340549453582
official_legacy_cross_ijepa_giant,ijepa,giant,1000.0,0.0320720170888007,bsf,9.0
