model,pair,family,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,embedding_dim,dense_available,sae_available,bsf_available,unpaired_compatible,included,exclusion_reason,comparison_mode,reference_policy,reference_model,col1,col2
AstroPTv2 Small,official_legacy_cross_astropt_15m,astropt,15m,0,15000000.0,7.176091259055681,15.0,384,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,astropt_15m_hsc,astropt_15m_legacysurvey
AstroPTv2 Base,official_legacy_cross_astropt_95m,astropt,95m,1,95000000.0,7.977723605288848,95.0,768,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,astropt_95m_hsc,astropt_95m_legacysurvey
AstroPTv2 Large,official_legacy_cross_astropt_850m,astropt,850m,2,850000000.0,8.929418925714293,850.0,2048,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,astropt_850m_hsc,astropt_850m_legacysurvey
ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,convnext,nano,0,15000000.0,7.176091259055681,15.0,640,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,convnext_nano_hsc,convnext_nano_legacysurvey
ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,convnext,tiny,1,28000000.0,7.447158031342219,28.0,768,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,convnext_tiny_hsc,convnext_tiny_legacysurvey
ConvNeXtv2 Base,official_legacy_cross_convnext_base,convnext,base,2,89000000.0,7.949390006644912,89.0,1024,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,convnext_base_hsc,convnext_base_legacysurvey
ConvNeXtv2 Large,official_legacy_cross_convnext_large,convnext,large,3,198000000.0,8.296665190261532,198.0,1536,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,convnext_large_hsc,convnext_large_legacysurvey
DINOv2 Small,official_legacy_cross_dino_small,dinov2,small,0,22000000.0,7.342422680822207,22.0,384,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,dino_small_hsc,dino_small_legacysurvey
DINOv2 Base,official_legacy_cross_dino_base,dinov2,base,1,86000000.0,7.9344984512435675,86.0,768,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,dino_base_hsc,dino_base_legacysurvey
DINOv2 Large,official_legacy_cross_dino_large,dinov2,large,2,300000000.0,8.477121254719663,300.0,1024,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,dino_large_hsc,dino_large_legacysurvey
DINOv2 Giant,official_legacy_cross_dino_giant,dinov2,giant,3,1100000000.0,9.041392685158225,1100.0,1536,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,dino_giant_hsc,dino_giant_legacysurvey
IJEPA Huge,official_legacy_cross_ijepa_huge,ijepa,huge,0,630000000.0,8.799340549453582,630.0,1280,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,ijepa_huge_hsc,ijepa_huge_legacysurvey
IJEPA Giant,official_legacy_cross_ijepa_giant,ijepa,giant,1,1000000000.0,9.0,1000.0,1408,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,ijepa_giant_hsc,ijepa_giant_legacysurvey
ViT Base,official_legacy_cross_vit_base,vit,base,0,86000000.0,7.9344984512435675,86.0,768,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,vit_base_hsc,vit_base_legacysurvey
ViT Large,official_legacy_cross_vit_large,vit,large,1,307000000.0,8.487138375477187,307.0,1024,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,vit_large_hsc,vit_large_legacysurvey
ViT Huge,official_legacy_cross_vit_huge,vit,huge,2,632000000.0,8.800717078282386,632.0,1280,True,True,True,True,True,,paper_same_size_cross_survey,same_size_other_survey,paired_legacysurvey_same_size,vit_huge_hsc,vit_huge_legacysurvey
