pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,dense_cosine,0.009747314453125,16384,3277,paper_full_catalog,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,dense_cosine_heldout,0.009246261824839792,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,sae_codes_cosine,0.011595971925541654,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,sae_idf_cosine,0.012206286237412267,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,shared_side1_basis_cosine,0.014952700640830027,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,shared_side1_basis_idf,0.014922184925236498,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,shared_side2_basis_cosine,0.013274336283185842,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,shared_side2_basis_idf,0.01367104058590174,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,dense_cosine_test_subset,0.017973756484589563,16384,3277,test_subset_mknn,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_nano,convnext,nano,ConvNeXtv2 Nano,15.0,10,shared_best_basis_idf,0.014922184925236498,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,dense_cosine,0.009100341796875,16384,3277,paper_full_catalog,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,dense_cosine_heldout,0.008483368935001526,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,sae_codes_cosine,0.01095514189807751,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,sae_idf_cosine,0.011534940494354592,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,shared_side1_basis_cosine,0.014189807750991762,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,shared_side1_basis_idf,0.01464754348489472,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,shared_side2_basis_cosine,0.012480927677754043,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,shared_side2_basis_idf,0.012633506255721696,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,dense_cosine_test_subset,0.018462007934086054,16384,3277,test_subset_mknn,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_tiny,convnext,tiny,ConvNeXtv2 Tiny,28.0,10,shared_best_basis_idf,0.01464754348489472,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_base,convnext,base,ConvNeXtv2 Base,89.0,10,dense_cosine,0.011724853515625,16384,3277,paper_full_catalog,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_base,convnext,base,ConvNeXtv2 Base,89.0,10,dense_cosine_heldout,0.010253280439426304,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_convnext_base,convnext,base,ConvNeXtv2 Base,89.0,10,sae_codes_cosine,0.013823619163869394,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
