pair,family,size_name,approx_params_m,d,s,lift,logp
official_legacy_cross_convnext_nano,convnext,nano,15.0,0.0092462618248397,0.0149221849252364,0.005675923100396699,7.176091259055681
official_legacy_cross_convnext_tiny,convnext,tiny,28.0,0.0084833689350015,0.0146475434848947,0.0061641745498932,7.447158031342219
official_legacy_cross_convnext_base,convnext,base,89.0,0.0102532804394263,0.0173634421727189,0.007110161733292602,7.949390006644912
official_legacy_cross_convnext_large,convnext,large,198.0,0.0124504119621605,0.0149832163564235,0.0025328043942630003,8.296665190261532
official_legacy_cross_astropt_15m,astropt,15m,15.0,0.0065913945682026,0.0116875190723222,0.005096124504119601,7.176091259055681
official_legacy_cross_astropt_95m,astropt,95m,95.0,0.0097955447055233,0.0133048519987793,0.003509307293256001,7.977723605288848
official_legacy_cross_astropt_850m,astropt,850m,850.0,0.0108025633201098,0.0151663106499847,0.004363747329874901,8.929418925714293
official_legacy_cross_dino_small,dinov2,small,22.0,0.0121147390906316,0.0156850778150747,0.0035703387244431003,7.342422680822207
official_legacy_cross_dino_base,dinov2,base,86.0,0.0093988404028074,0.0140067134574305,0.0046078730546231,7.9344984512435675
official_legacy_cross_dino_large,dinov2,large,300.0,0.0113518462007934,0.0169057064388159,0.0055538602380225,8.477121254719663
official_legacy_cross_dino_giant,dinov2,giant,1100.0,0.0115654562099481,0.0169362221544095,0.005370765944461399,9.041392685158225
official_legacy_cross_vit_base,vit,base,86.0,0.0071101617332926,0.0115654562099481,0.004455294476655501,7.9344984512435675
official_legacy_cross_vit_large,vit,large,307.0,0.0136710405859017,0.0193469636862984,0.005675923100396699,8.487138375477187
official_legacy_cross_vit_huge,vit,huge,632.0,0.0144644491913335,0.0182178822093378,0.003753433018004298,8.800717078282386
official_legacy_cross_ijepa_huge,ijepa,huge,630.0,0.0107415318889227,0.0234360695758315,0.012694537686908801,8.799340549453582
official_legacy_cross_ijepa_giant,ijepa,giant,1000.0,0.0175770521818736,0.027372596887397,0.0097955447055234,9.0
